username,blitz_points,bullet_points,total_points,average_points
FlameCandy,281,384,665,55.42
The_Avalanche,248,256,504,42.00
Shriman_K,199,279,478,39.83
Aakarsh_IND,222,224,446,37.17
Atri_Chakraborty,150,218,368,36.80
zacker22,159,231,390,32.50
sai_12krish,115,138,253,31.62
Saishravan190,76,150,226,28.25
thedaymaster,147,191,338,28.17
Diablo2004,107,109,216,27.00
Venkat_g,132,177,309,25.75
i_d_g_a_f,130,173,303,25.25
microbot,94,193,287,23.92
amitansu70,90,140,230,23.00
Rahulk644,85,137,222,22.20
ro1603,43,90,133,22.17
saiteja2345,68,102,170,21.25
aryanj28,75,157,232,21.09
HARI_THE_GREAT,92,160,252,21.00
BladeBert,41,42,83,20.75
Alpha2608,93,110,203,20.30
blithe55,65,96,161,20.12
Chessforfeel2,35,45,80,20.00
warrior_op,96,139,235,19.58
Pratham085,91,143,234,19.50
ssathyan2003sr,48,105,153,19.12
praneeth0503,103,122,225,18.75
omkaar_1634,84,135,219,18.25
tspabhishek,85,131,216,18.00
alainplays,91,123,214,17.83
AdiTiwari32,86,120,206,17.17
RaKshan_22,73,114,187,17.00
CheSSStriker01,12,38,50,16.67
rpavanaj007,79,117,196,16.33
adrian_v_martin,55,75,130,16.25
queena4,69,124,193,16.08
adit_tiwari,84,44,128,16.00
sanketagrawal0707,61,99,160,16.00
HACKERSTARK,75,116,191,15.92
soham_patil_2003,64,108,172,15.64
Br0jacK,56,97,153,15.30
Hars4444,65,112,177,14.75
Venkata_Charan,51,96,147,14.70
Playharder,49,98,147,14.70
TarushTanwar,67,109,176,14.67
Dark_Horse123,72,89,161,14.64
Ace3435,65,77,142,14.20
Dark_knight_KC,63,107,170,14.17
arnavkop,75,95,170,14.17
chirag_1603,88,81,169,14.08
SavageRockstar,84,83,167,13.92
AMEYAMUKTEWAR,42,69,111,13.88
abhishek010,25,57,82,13.67
dhruv_2_1_2,17,10,27,13.50
Krut_Doshi,57,102,159,13.25
Yashsatishj,53,53,106,13.25
Subham06,15,38,53,13.25
Tushar143,76,82,158,13.17
RunAt,59,99,158,13.17
forcaandy2,47,58,105,13.12
Chadini_S,68,89,157,13.08
Vasp0007,67,88,155,12.92
sushantAPS12,63,91,154,12.83
AJAN_Chess,58,96,154,12.83
qwert5635,59,95,154,12.83
newgem,20,57,77,12.83
aakash234,49,90,139,12.64
saravanakumarMSK,31,68,99,12.38
InsolubleTown,66,82,148,12.33
samurf,50,94,144,12.00
vasan12sp,44,99,143,11.92
uzumakiroronoazoro,54,77,131,11.91
simmi29,40,78,118,11.80
lalit_chahar,55,86,141,11.75
aashir25,35,58,93,11.62
parr1281,44,93,137,11.42
prxbhxth69,47,88,135,11.25
devanssuman,25,19,44,11.00
yagyesh_dubey01,41,47,88,11.00
PhotoLi,37,49,86,10.75
manas_j555,38,36,74,10.57
Viv_7,45,59,104,10.40
Thunder2003,28,55,83,10.38
ArpitParashar,34,59,93,10.33
KingRajan_03,29,53,82,10.25
uv_chess,34,89,123,10.25
Harsh_101011,60,63,123,10.25
Ara_vind,35,77,112,10.18
sujitsuresh,25,56,81,10.12
vibhor_57,50,71,121,10.08
Saki1811,29,51,80,10.00
Hitesh1729,43,77,120,10.00
Braj_Kishor_Sharma,64,53,117,9.75
PRABHAT_DUTTA,27,51,78,9.75
FullmetalSphinx,47,69,116,9.67
Korchnoi2004,25,50,75,9.38
Stormbreaker1220,28,47,75,9.38
Rigel7,28,47,75,9.38
Gauthamp,54,58,112,9.33
chess_prince15,45,65,110,9.17
Ary2502,0,18,18,9.00
Arin2003,46,60,106,8.83
wimpykidwho,38,55,93,8.45
pranvnair,36,56,92,8.36
KushagrJ,6,10,16,8.00
Abchack2444,13,18,31,7.75
DHUNDALE12,35,56,91,7.58
GokulakrishnanV,34,57,91,7.58
Rohan_raju,15,0,15,7.50
tourist_200,16,36,52,7.43
shubhank1,19,53,72,7.20
Aryanstyagi,29,56,85,7.08
Trilodhar,22,6,28,7.00
ArjunSIR,26,16,42,7.00
SIRBUNGALA,16,24,40,6.67
jjtomar,30,23,53,6.62
notbroood,22,31,53,6.62
anka_hey,2,16,18,6.00
fakevansh,4,7,11,5.50
SuchiSreedhar,13,31,44,5.50
Paranoid101,7,4,11,5.50
Tar_Sh,6,15,21,5.25
Snoculaa,32,6,38,4.75
DhruvilJee,22,16,38,4.75
phatakuddhav,12,25,37,4.62
Nihal_jon03,18,16,34,4.25
kripanshsharma,16,12,28,3.50
S_Hyvdn,12,2,14,3.50
sakshu18,14,10,24,3.00
pranshu17,13,10,23,2.88
PRANAVMANCHI,8,23,31,2.82
Tanu_9114,12,9,21,2.62
kiruthiga22,5,6,11,1.83
Suraj_Jha,7,0,7,1.75
Vikkyrajput,2,12,14,1.75
JokingLemon,3,4,7,1.75
VazelWAR,2,0,2,1.00
shaandarvishnu,0,0,0,0.00
Vigneshhh,0,0,0,0.00
Nihal21980,0,0,0,0.00
IllTakeL,0,0,0,0.00
